id,pp,x,y,z
100,1231793.531068,3000,3000,-100
99.497487437186,1227312.3338685,3000,3000,-99.497487437186
98.994974874372,1222831.136669,3000,3000,-98.994974874372
98.492462311558,1218349.9394695,3000,3000,-98.492462311558
97.989949748744,1213868.74227,3000,3000,-97.989949748744
97.48743718593,1209387.5450705,3000,3000,-97.48743718593
96.984924623116,1204906.347871,3000,3000,-96.984924623116
96.482412060301,1200425.1506715,3000,3000,-96.482412060301
95.979899497487,1195943.953472,3000,3000,-95.979899497487
95.477386934673,1191462.7562725,3000,3000,-95.477386934673
94.974874371859,1186981.559073,3000,3000,-94.974874371859
94.472361809045,1182500.3618735,3000,3000,-94.472361809045
93.969849246231,1178019.164674,3000,3000,-93.969849246231
93.467336683417,1173537.9674745,3000,3000,-93.467336683417
92.964824120603,1169056.770275,3000,3000,-92.964824120603
92.462311557789,1164575.5730755,3000,3000,-92.462311557789
91.959798994975,1160094.375876,3000,3000,-91.959798994975
91.457286432161,1155613.1786765,3000,3000,-91.457286432161
90.954773869347,1151131.981477,3000,3000,-90.954773869347
90.452261306533,1146650.7842775,3000,3000,-90.452261306533
89.949748743719,1142169.587078,3000,3000,-89.949748743719
89.447236180905,1137688.3898785,3000,3000,-89.447236180905
88.94472361809,1133207.192679,3000,3000,-88.94472361809
88.442211055276,1128725.9954795,3000,3000,-88.442211055276
87.939698492462,1124244.79828,3000,3000,-87.939698492462
87.437185929648,1119763.6010805,3000,3000,-87.437185929648
86.934673366834,1115303.6630594,3000,3000,-86.934673366834
86.43216080402,1110907.443848,3000,3000,-86.43216080402
85.929648241206,1106511.2246366,3000,3000,-85.929648241206
85.427135678392,1102115.0054252,3000,3000,-85.427135678392
84.924623115578,1097718.7862137,3000,3000,-84.924623115578
84.422110552764,1093322.5670023,3000,3000,-84.422110552764
83.91959798995,1088926.3477909,3000,3000,-83.91959798995
83.417085427136,1084530.1285795,3000,3000,-83.417085427136
82.914572864322,1080133.909368,3000,3000,-82.914572864322
82.412060301508,1075737.6901566,3000,3000,-82.412060301508
81.909547738693,1071341.4709452,3000,3000,-81.909547738693
81.407035175879,1066945.2517338,3000,3000,-81.407035175879
80.904522613065,1062549.0325223,3000,3000,-80.904522613065
80.402010050251,1058152.8133109,3000,3000,-80.402010050251
79.899497487437,1053756.5940995,3000,3000,-79.899497487437
79.396984924623,1049360.3748881,3000,3000,-79.396984924623
78.894472361809,1044964.1556766,3000,3000,-78.894472361809
78.391959798995,1040567.9364652,3000,3000,-78.391959798995
77.889447236181,1036171.7172538,3000,3000,-77.889447236181
77.386934673367,1031775.4980424,3000,3000,-77.386934673367
76.884422110553,1027379.2788309,3000,3000,-76.884422110553
76.381909547739,1022983.0596195,3000,3000,-76.381909547739
75.879396984925,1018586.8404081,3000,3000,-75.879396984925
75.376884422111,1014190.6211967,3000,3000,-75.376884422111
74.874371859296,1009794.4019852,3000,3000,-74.874371859296
74.371859296482,1005398.1827738,3000,3000,-74.371859296482
73.869346733668,1001001.9635624,3000,3000,-73.869346733668
73.366834170854,996605.74435096,3000,3000,-73.366834170854
72.86432160804,992209.52513953,3000,3000,-72.86432160804
72.361809045226,987813.30592811,3000,3000,-72.361809045226
71.859296482412,983417.08671668,3000,3000,-71.859296482412
71.356783919598,979020.86750526,3000,3000,-71.356783919598
70.854271356784,974624.64829383,3000,3000,-70.854271356784
70.35175879397,970228.42908241,3000,3000,-70.35175879397
69.849246231156,965832.20987098,3000,3000,-69.849246231156
69.346733668342,961435.99065956,3000,3000,-69.346733668342
68.844221105528,957039.77144813,3000,3000,-68.844221105528
68.341708542714,952643.55223671,3000,3000,-68.341708542714
67.839195979899,948247.33302528,3000,3000,-67.839195979899
67.336683417085,943920.39134009,3000,3000,-67.336683417085
66.834170854271,939596.51665548,3000,3000,-66.834170854271
66.331658291457,935272.64197086,3000,3000,-66.331658291457
65.829145728643,930948.76728624,3000,3000,-65.829145728643
65.326633165829,926624.89260162,3000,3000,-65.326633165829
64.824120603015,922301.01791701,3000,3000,-64.824120603015
64.321608040201,917977.14323239,3000,3000,-64.321608040201
63.819095477387,913653.26854777,3000,3000,-63.819095477387
63.316582914573,909329.39386315,3000,3000,-63.316582914573
62.814070351759,905005.51917854,3000,3000,-62.814070351759
62.311557788945,900681.64449392,3000,3000,-62.311557788945
61.809045226131,896357.7698093,3000,3000,-61.809045226131
61.306532663317,892033.89512468,3000,3000,-61.306532663317
60.804020100503,887710.02044007,3000,3000,-60.804020100503
60.301507537688,883386.14575545,3000,3000,-60.301507537688
59.798994974874,879062.27107083,3000,3000,-59.798994974874
59.29648241206,874738.39638621,3000,3000,-59.29648241206
58.793969849246,870414.5217016,3000,3000,-58.793969849246
58.291457286432,866090.64701698,3000,3000,-58.291457286432
57.788944723618,861766.77233236,3000,3000,-57.788944723618
57.286432160804,857442.89764774,3000,3000,-57.286432160804
56.78391959799,853119.02296313,3000,3000,-56.78391959799
56.281407035176,848795.14827851,3000,3000,-56.281407035176
55.778894472362,844471.27359389,3000,3000,-55.778894472362
55.276381909548,840147.39890927,3000,3000,-55.276381909548
54.773869346734,835823.52422466,3000,3000,-54.773869346734
54.27135678392,831499.64954004,3000,3000,-54.27135678392
53.768844221106,827175.77485542,3000,3000,-53.768844221106
53.266331658291,822851.9001708,3000,3000,-53.266331658291
52.763819095477,818528.02548619,3000,3000,-52.763819095477
52.261306532663,814204.15080157,3000,3000,-52.261306532663
51.758793969849,809880.27611695,3000,3000,-51.758793969849
51.256281407035,805556.40143234,3000,3000,-51.256281407035
